[00:00:00.004] (3a74) INFO   Triggers: ["w", "a", "s", "d", "leftbutton", "rightbutton", "leftshift"]
[00:00:00.098] (3a74) INFO   Loading X11 library to get the current display
[00:00:00.099] (3a74) INFO   EGL_MESA_platform_surfaceless not available. Using default platform
[00:00:00.099] (3a74) INFO   Enabling EGL debug output
[00:00:00.272] (3a74) INFO   Display vendor "Google Inc. (NVIDIA)", version (1, 5)
[00:00:00.273] (3a74) INFO   	EGL surface: +srgb
[00:00:00.273] (3a74) INFO   	Trying native-render
[00:00:00.273] (3a74) WARN   No config found!
[00:00:00.273] (3a74) INFO   	Trying presentation
[00:00:00.273] (3a74) WARN   EGL says it can present to the window but not natively
[00:00:00.273] (3a74) INFO   	EGL context: +debug
[00:00:00.273] (3a74) INFO   	EGL context: +robust access EXT
[00:00:00.273] (3a74) INFO   	EGL context: +surfaceless
[00:00:00.275] (3a74) INFO   Max label length: 1024
[00:00:00.275] (3a74) INFO   Enabling GLES debug output
[00:00:00.275] (3a74) INFO   Vendor: Google Inc. (NVIDIA)
[00:00:00.275] (3a74) INFO   Renderer: ANGLE (NVIDIA, NVIDIA GeForce RTX 3080 Ti Direct3D11 vs_5_0 ps_5_0, D3D11-32.0.15.5612)
[00:00:00.275] (3a74) INFO   Version: OpenGL ES 3.0.0 (ANGLE 2.1.18912 git hash: 872d7947bb76)
[00:00:00.275] (3a74) INFO   SL version: OpenGL ES GLSL ES 3.00 (ANGLE 2.1.18912 git hash: 872d7947bb76)
[00:00:00.276] (3a74) INFO   Adapter Gl AdapterInfo { name: "ANGLE (NVIDIA, NVIDIA GeForce RTX 3080 Ti Direct3D11 vs_5_0 ps_5_0, D3D11-32.0.15.5612)", vendor: 4318, device: 0, device_type: Other, driver: "", driver_info: "", backend: Gl }
[00:00:00.284] (3a74) INFO   Created texture Valid((0, 1, Gl)) with TextureDescriptor { label: Some("pixels_source_texture"), size: Extent3d { width: 1920, height: 1080, depth_or_array_layers: 1 }, mip_level_count: 1, sample_count: 1, dimension: D2, format: Rgba8UnormSrgb, usage: TextureUsages(COPY_DST | TEXTURE_BINDING), view_formats: [] }
[00:00:00.286] (3a74) INFO   Created buffer Valid((0, 1, Gl)) with BufferDescriptor { label: Some("pixels_scaling_renderer_vertex_buffer"), size: 24, usage: BufferUsages(VERTEX), mapped_at_creation: true }
[00:00:00.287] (3a74) INFO   Created buffer Valid((1, 1, Gl)) with BufferDescriptor { label: Some("pixels_scaling_renderer_matrix_uniform_buffer"), size: 64, usage: BufferUsages(COPY_DST | UNIFORM), mapped_at_creation: true }
[00:00:00.288] (3a74) INFO   	Compiled shader NativeShader(5)
[00:00:00.289] (3a74) INFO   	Compiled shader NativeShader(6)
[00:00:00.290] (3a74) INFO   	Linked program NativeProgram(4)
